Apa kabar	Narai kabar
saya bisa datang	aku tau dumah
saya tidak bisa datang	aku dia tau dumah
bisa saya bantu	tau aku manduhup
bisakah aku tinggal	taukah aku melai
bawa ini	imbit jituh
pilih satu	intih ije
datang sendiri	dumah kabuat
datanglah padaku	dumahlah aku
apa pria menangis	narai hatue menangis
jangan lompat	ela nangkajuk
jangan bergerak	ela bagarak
jangan terburu-buru	ela kajeng kisu
jangan menanyi	ela manyanyi
jangan berbicara	ela bapander
jangan menunggu	ela manunggu
mencari pekerjaan	manggau gawi
mendapatkan kehidupan	mandinu kahidupan
pergi ke luar	tulak kan luar
dia menyerah	ie manyarah
ada orang nelpon	tege uluh manelpon
dia sedang sibuk	ie lagih deruh
dia ada disini	ie tege hetuh
dia baik	ie harati
dia terlambat	ie lambat
dia malas	ie kadian
dia sakit	ie badarem
dia cantik	ie bawi bakena
dia tampan	ie bakena
dia berhasil	ie bahasil
dia pintar	ie pintar
dia mabuk	ie babusau
ini dia	tuh ie
bagaimana bekerja	kenampi bagawi
cepat pulang	capat buli
aku laki laki	aku hatue
aku wanita	aku bawi
aku perempuan 	aku bawi
aku manusia	aku kalonen
aku pergi	aku tulak
aku benar	aku bujur
aku salah	aku sala
aku merusaknya	aku marusak ah
aku bisa membaca	aku tau mambasa
aku bisa menulis	aku tau manulis
aku bisa memasak	aku tau bamasak
aku bisa melompat	aku tau nangkajuk
aku bisa menyanyi	aku tau manyanyi
aku bisa berenang	aku tau hanangui
aku bisa berjalan	aku tau mananjung
aku bisa melihat	aku tau nanture
aku batal pergi	aku balang tulak
aku setuju	aku satuju
aku iri padamu	aku bahiri dengam
aku iri padanya	aku bahiri denga
saya merasa buruk	aku mangkeme papa
saya merasa tua	aku mangkeme bakas
aku telah memperbaiki nya	aku jadi ngambuah ah
aku menemukannya	aku mandinu ah
kamu jelek	ikau papa
aku punya satu	aku tege ije
saya menang	aku manang
aku mendengarmu	aku mahining aum
aku membantu nya	aku manduhup ah
saya tahu dia	aku tawangkuh ie
aku menyukai dia	aku handak ie
aku membuat the	aku manampa the
aku membuat dua 	aku manampa due
saya harus lari	aku harus hadari
saya bertemu mereka	aku sundau ewen
aku ingat	aku ingat
aku sehat	aku barigas
saya bilang iya	aku bapander yuh
aku duduk	aku munduk
saya melihat mereka	aku nanture ewen
aku berteriak	aku nangkariak
aku selamat	aku salamat
saya muntah	aku muta
saya menggunakan ini	aku mahapa jituh
saya ingin satu	aku handak ije
saya mau kamu	aku handak dengam
aku kuat	aku kuat
aku lemah	aku balemu
santai aja	santai ih
biarkan dia pergi	biar ih iye tulak
biarkan dia masuk	biar ih iye tame
biarkan aku mati	biar ih aku matei
biarkan aku keluar	biar ih aku balua
saya yang bayar	aku ih bayar
biarkan aku mancoba	biarih aku mancoba
lihat lagi	ture hindai
tidak masalah	dia masalah
harus bersyukur	harus basukur
tidak ada uang	jatun ti duit
kta selamat	itah salamat
kamu lapar	ikau balau
sudah malam pulang	jadi hamalem buli
aku berbelanja	aku bapili
kamu sendirian	ikau kabuat 
kamu marah	ikau basingi
apa kamu senang	narai ikau sanang
jadilah anak yang baik	jadi anak ji harati
jangan makan sembarangan	ela kuman sambarangan
makanan dan minuman	paginan dengan danum mihup
semua orang mati	uras uluh matei
semua orang bernyanyi	uras uluh manyanyi
semua orang berdiri	uras uluh mendeng
semua orang tertawa	uras uluh tatawe
semua orang menangis	uras uluh manangis
semua orang diam	uras uluh benyem
semua orang senang	uras uluh sanang
kembali kesini	mules kan hetuh
lepaskan aku	lapas aku
ambil jacket mu	duan jaket muh
tuhan memberkati mu	tuhan mamberkat ikau
serahkan padaku	 nyarah akangkuh
dia tidak bodoh	iye dia humung
jam berapa dia datang	jam pire iye dumah
aku bisa menari	aku tau manari
aku tidak minum	aku dia mihup
aku tidak merokok	aku dia merokok
tidak boleh merokok disini	dia tau maroko melai hetuh
saya bermimpi	aku manupi 
saya sedang mendengar musik	aku lagih mahining lagu
aku tidak marah	aku dia basingi
aku gemuk	aku baseput
badanku kecil sekali	bitingkuh kurik tutu
badan nya besar sekali	biti ah hai tutu
badan nya kecil sekali	biti ah kurik tutu
aku kurus	aku paringkung
 tinggi sekali	gantung tutu
saya tidak berbohong	aku dia nanjaru
saya tidak gemuk	aku dia baseput
saya tidak tinggi	aku dia gantung
saya tidak siap	aku dia siap
saya tidak pendek	aku dia pandak
aku tidak lelah	aku dia uyuh
saya tidak muda	aku dia tabela
tutup jendela	nutup jandela
tutup pintu	nutup batunggang
kunci pintu	 ngunci batunggang
kamu tidur	ikau batiruh
dapat hadiah	dinu hadiah
dapat makanan	dinu panginan
tunjukkan jalan	nunjuk jalan
beri aku uang	nenga aku duit
minta uang	laku duit
minta makanan	laku panginan
minta air	laku danum
cium dia	nyium ie
selamat tahun baru	salamat nyelu hateta
selamat ulang tahun	salamat ulang tahun
selamat panjang umur	salamat panjang umur
sehat selalu	barigas tarus
selamat siang	salamat bentuk andau
selamat datang	salamat datang
sudah kubilang	jadi ander kuh
selamat liburan	salamat liburan
panggil dia	tehau ie
besok hari minggu	jewu andau minggu
besok hari senin	jewu andau senin
besok hari selasa	jewu andau salasa
besok hari rabu	jewu andau raba
besok hari kamis	jewu andau kamis
besok hari jumat	jewu andau jumahat
besok hari sabtu	jewu andau sabtu
nonton tv	manonton tv
semoga hari mu menyenanglan	samoga andau muh sanang
kamu sedang dirumah	ikau lagih melai huma
aku anak pertama	aku anak ke ije
tutup mata	nutup mata
tutup matamu	nutup matam
bersihkan rumah	rasih huma
tutup pintu itu	nutup batunggang jikau
tutup mulutmu	nutup nyamam 
kamu makan ikan	ikau kuman lauk
kamu makan nasi	ikau kuman bari
kamu makan ayam	ikau kuman manuk
pinjam uang	minjam duit
jangan lupa senyum	ela dia bingat senyum
aku suka kopi	aku rajin kopi
aku belajar bahasa inggris	aku balajar bahasa inggris
dia baik	ie harati
aku tidak tahu	aku dia tawa
aku tidak kenal	aku dia kenal
aku belum makan	aku hindai kuman
aku sakit	aku badarem
aku sehat	aku barigas
kamu bisa berenang	ikau tau hanangui
kamu bisa memasak	ikau tau bamasak
kamu bisa membersihkan rumah	ikau tau marasih huma
makanan ini enak	panginan jituh mangat
makanan ini basi	panginan jituh basi
makanan ini tidak enak	panginan tuh dia mangat
kita berkeluarga	itah hampahari
aku tinggal di indonesia	aku melai hung indonesia
aku tinggal di kalimantan	aku melai hung kalimantan
baju mu bagus	bajum bahalap
bajumu warna nya hitam	bajum warna ah babilem
jangan tanya lagi	ela misek hindai
kamu gila	ikau gila
besok bisa ketemu	jewu tau hasupa
aku suka berenang	aku rajin hanangui
hobby ku bermain badminton	hobby kuh main badminton
salam sehat	salam baringas
aku cinta anakku	aku sinta anak kuh
aku sayang anak ku	aku sayang anak kuh
aku sayang orang tua	aku sayang uluh bakas
sayang orang tua	sayang uluh bakas
aku sayang ibu	aku sayang indu
aku sayang ayah	aku sayang apang
aku sayang kakak	aku sayang kaka
aku sayang adik	aku sayang andi
jangan tidur	ela batiruh
jangan bangun	ela misik
jangan makan permen	ela kuman gulabatu
besok hari apa	jewu andau narai
dia guruku	ie gurukuh
aku naik motor	aku mandai motor
aku naik mobil	aku mandai mobil
aku naik sepeda	aku mandai sapeda
dia membeli sepatu	ie mamili sapatu
dia membeli sendal	ie mamili sandal
maaf menggangu	maaf manderuh
jangan menggangu	ela manderuh
besok libur	jewu libur
besok tanggal merah	jewu tanggal bahandang
kalian berapa bersaudara	ketun pire hampahari
umur berapa	umur pire
dia meninggal	ie malihi
aku mau berenang	aku handak hanangui
kamu kerja dimana	ikau bagawi melai kueh
sedang apa kamu	lagih narai ikau
aku tidak berbohong	aku dia nanjaru
aku butuh belajar	aku perlu balajar
aku tidak pernah melihat mu	aku dia puji nanture ikau
saya sering melakukan ini	aku rancak menggawi jituh
aku tidak mencuri	aku dia manakau
aku sering melihatnya	aku rancak nanture
saya butuh satu	aku perlu ije
jangan lama	ela tahi
jangan menyanyi	ela manyanyi
aku baca buku	aku mambasa buku
dia ramah sekali	ie bajenta tutu
dia pendiam sekali	ie pambenyem tutu
aku berdiri didepan	aku mendeng hung baun
saya ingat itu	aku bingat jikau
saya ingat mereka	aku bingat ewen
menjemur pakaian	mangekei pakaian
aku ingat ini	aku bingat jituh
saya berlari setiap hari	aku hadari satiap andau
aku ada melihatnya	aku tege nanture
sudah makan	jadi kuman
jangan malu	ela mahamen
jangan lupa beribadah	ela dia bingat sembahyang
jangan menggangu	ela manderuh
sudah mandi	jadi mandui
jangan berhenti	ela tende
kami bangga	ikei bangga
aku berhenti merokok	aku terai maroko
kamu makan banyak	ikau are kuman
apakah kamu peduli	en ikau peduli
kamu merasa sakit	ikau mangkeme kapehe
kamu punya bir	ikau tege bir
kamu punya waktu	ikau tege waktum
apakah kamu mendengar itu	en ikau mahining jikau
apakah kamu suka kucing	en ikau rajin pusa
apakah kamu suka anjing	en ikau rajin asu
apakah kamu suka ikan	en ikau rajin lauk
kamu suka itu	ikau rajin jikau
kamu suka ini	ikau rajin jituh
kamu bekerja disini	ikau bagawi melai hetuh
kerjakan pekerjaan rumah	manggerja  gawian huma
jangan tanya aku kenapa	ela misek aku buhen
jangan jadi orang bodoh	ela jadi uluh humung
jangan bodoh	ela humung
jangan terlalu malas	ela lalau kadian
jangan terlalu rendah	ela lalau randah
jangan terlalu bodoh	ela lalau gantung
tetap rendah hati	tatap randah atei
jangan datang lagi	ela dumah hindai
jangan menipu saya	ela nanjaru aku
jangan minum itu	ela mihup jikau
jangan makan itu	ela kuman jikau
ikut orang tua	umba uluh bakas
jangan lihat aku	ela ture aku
jangan lihat kami	ela ture ikei
jangan patah semangat	ela patah samangat
jangan paksa aku pergi	ela maksa aku tulak
jangan berisik	ela ridu
jangan sebutkan itu	ela mayewut jikau
jangan diangkat	ela mangkat ah
jangan bicara padaku	ela bapander dengankuh
jangan sentuh itu	ela mimbing jikau
minum banyak air	mihup are danum
semua orang melompat	uras uluh nangkajuk
semua orang melihatnya	uras uluh nampayah ah
semuanya mati	uras ah matei
kaki nya patah	pai ai bapulek
semua disini	uras kahetuh
semua orang berubah	uras uluh barubah
semua orang ada disini	uras uluh tege melai hetuh
semua orang tertawa	uras uluh tatawe
semua orang berbohong	uras uluh mananjaru
beri aku makanan	nenga aku panginan
selamat bersenang-senang	salamat bersanang-sanang
semoga selamat sampai tujuan	mundahan salamat sampai tujuan
minum kopi	mihup kopi
apakah kamu pernah bertemu dengannya	en ikau puji sundau denga
dia mulai berlari	ie nampara hadari
aku setuju dengannya	aku satuju denga
aku tidak setuju dengannya	aku dia satuju denga
aku setuju dengan kamu	aku satuju dengam
aku tidak setuju dengan kamu	aku dia satuju dengam
aku hampir tenggelam	aku handak leteng
saya percaya pada tuhan	aku percaya dengan tuhan
aku percaya padanya	aku percaya denga
aku tidak percaya padanya	aku dia percaya denga
aku percaya kamu	aku percaya ikau
aku tidak percaya kamu	aku dia percaya ikau
saya membeli rumah	aku mamili huma
saya membeli pisang	aku mamili pisang
saya membeli jam tangan	aku membeli jam tangan
saya membawa buku	aku meimbit buku
saya membawa baju	aku meimbit baju
saya membawa jalan-jalan	aku meimbit mananjung
saya membawa makan	aku meimbit kuman
saya membawa minum	aku meimbit mihup
saya datang kemarin	aku dumah male
saya bisa mengganti nya	aku tau manggati ah
saya tidak bisa berdiri	aku dia tau mendeng
saya bisa berdiri sendri	aku tau mendeng kabuat
aku tidak bisa menyelamatkan mu	aku dia tau manyalamat ikau
tali nya putus	tali ah bagetu
aku bisa mencium mu	aku tau manyium ikau
saya tidak bisa tidur	aku dia tau batiruh
saya tidak bisa berbicara	aku dia tau bapander
saya tidak tahan	aku dia tahan
dia menjemur pakaian	ie mangekei pakaian
saya berhak mendapatkan yang lebih baik	aku berhak mandinu ji labih bahalap 
dia orang nya baik	ie ulu ah bahalap
saya sudah melakukannya	aku jadi manggawi ah
aku melakukannya untukmu	aku manggawi ah akam
saya tidak mendengarnya	aku dia mahining ah
saya tidak menyukainya	aku dia rajin
saya tidak bermaksud apa-apa	aku dia bamaksud narai-narai
apa maksudmu	narai maksudmuh
aku tidak suka kopi	aku dia rajin kopi
dia orangnya kuat	ie ulu ah kuat
dia orangnya lemah	ie ulu ah balemu
dia orang nya ramah	ie ulu ah bajenta
saya punya rencana	Aku tege rencana 
berikan pada nya	nenga aka
jangan diam	ela benyem
jangan rakus	ela babungu
kita keluarga	itah pahari
jangan berbohong	ela nanjaru 
lama tidak bertemu	tahi dia hasupa
pergi memancing	tulak mamisi
jangan marah	ela basingi
itu untuk dijual	jikau akan injual
apakah itu terlalu sulit	en jikau lalau bahali
itu terlalu banyak	jikau lalau kakare
itu mobilmu	jikau mobil muh
itu kucingmu	jikau pusam 
itu anjingmu	jikau asum
ini untukmu	jituh akam
ini untukku	jituh akangkuh
itu ibu mu	jikau indum
itu bapak mu	jikau bapam
buka pintu	buka batunggang
ini mobilmu	jituh mobil muh
apa ini	narai jituh
ini anjing mu	jituh asum
ini penamu	jituh pulpem
ibumu dirumah	indum melai huma
ayahmu di rumah	bapam melai huma
itu sangat kecil	jikau lalau kurik
itu sangat besar	jikau lalau hai
itu sangat tinggi 	jikau lalau gantung
itu sangat pendek	jikau lalau pandak
itu hak kamu	jikau hak muh
itu baru keluar	jikau haru balua
itu penting untukku	jikau penting akangkuh
itu membuatku tertawa	jikau manampa ku tatawe
itu penting sekali	jikau penting tutu
itu harus ada	jikau harus tege
itu besar	jikau hai
itu kecil	jikau kurik
semua ada disana	uras tege  melai kanih
semua salah	uras sala
semua benar	uras bujur
itu semua salah nya	jikau uras sala ayu
itu semua salah kamu	jikau uras sala ikau
itu tahun lalu	jikau nyelu male
itu wajib	jikau wajib
itu sangat dingin	jikau lalau sadingen
itu sangat gelap	jikau lalau kaput
itu sangat bagus	jikau lalau bahalap
itu sangat jelek	jikau lalau papa
itu pertanda baik	jikau pantanda bahalap
itu bunga	jikau kambang
itu anjing	jikau asu
itu kucing	jikau pusa
bagaimana ini	kenampi tuh
siapa itu	eweh jikau
siapa namamu	eweh aram
jangan bodoh	ela humung
anak baik	anak harati
beri aku semangat	nenga aku samangat
jangan bicara begitu	ela bapander kalute
apa itu cinta	narai te sinta
kami berbicara	ikai bapander
jangan percaya	ela percaya
kami bermain pada hari minggu	ikei busik pas andau minggu
kami kehabisan bensin	ikei kalepahan bensin
kita jarang makan diluar	itah jarang kuman melai luar
kami menyewa makan diluar	ikei manyewa kuman melai luar
kami melihat semuanya	ikei nanture uras ah
kami melihat mereka pergi	ikei nanture ewen tulak
kita harus pulang	itah harus buli
kami mencoba semuanya	ikei mancoba uras ah
kami menunggu di luar	ikei manunggu melai luar
aku menunggu di luar	aku menunggu melai luar
kami ingin lebih banyak makanan	ikei handak labih are panginan
kami ingin uang kami	ikei handak duit ikei
kita sendirian	itah kabuat
kami semua senang	ikei uras hanjak
kami semua lelah	ikei uras uyuh
kita semua salah	itah uras sala
kami semua takut	ikei uras mikeh
semuanya berisiko	uras ah beresiko
semua adalah teman	uras ah kawal
sudah pensiun semua	jadi pensiun uras
sudah menikah 	jadi kawin 
dulu berteman sekarang	bihin hakawal wayahtuh
zaman sekarang	zaman wayahtuh
jangan nakal	ela badungil
jangan iri	ela bahiri
semakin tua	sasar bakas
semakin muda	sasar tabela
pergi sekarang	tulak tuh ih
pergi cepat	tulak ancap
jangan datang terlambat	ela dumah lambat
sudah menikah 	jadi kawin 
belum menikah	hindai kawin
bukan teman	beken kawal
kami tidak bercanda	ikei dia hureh
kami bercanda	ikei hureh
kami tidak mencari	ikei dia manggau
kami tidak menikah	ikei dia kawin
kita tidak sempurna	itah dia sampurna
kami tidak serius	ikei dia serius
kami tidak ada senyum	ikei jatun senyum
kami tidak percaya	ikei dia percaya
kami tidak tinggal	ikei dia melai
kita teman lama	itah kawal tahi
kita kehabisan garam	itah kalepahan uyah
kita kehabisan makanan	itah kalepahan panginan
kita kehabisan air	itah kalepahan danum mihup
kita kehabisan waktu	itah kalepahan waktu
kita kehabisan susu	itah kalepahan susu
kami bertahan	ikei batahan
kami siap pergi	ikei siap tulak
kami sangat baik	ikei tutu bahalap
kita masih hidup	itah masih belum
kami mengambil alih	ikei manduan alih
kita semua telah melakukannya	ikei uras jadi manggawi ah
kita semua pernah melihatnya	itah uras puji nanture ah
aku minta maaf	aku balaku maaf
percaya padaku	percaya dengangkuh
kita sudah bertemu	kita jadi hasupa
kita pernah bertemu	itah puji hasupa
kamu minum	ikau mihup
kamu makan	ikau kuman
sudah makan	jadi kuman
jangan sampai lupa	ela sampai dia bingat
sakit kelapa	pehe takuluk
ide yang bagus	ide ji bahalap
pemandangan yang bagus	pemandangan ji bahalap
semoga harimu indah	mundahan andau muh bahalap
apa warna kesukaan mu	narai warna kasukaan muh
apa yang kita lakukan	narai ji itah manggawi
apa yang dia katanya	narai ji ie kua
apa yang kamu temukan	narai ji dimum
apa yang kamu dengar	narai ji hining muh
jangan begitu	ela kalute
apa yang kamu sembunyikan	narai ji nyahukam
apa yang kamu buat	narai ji nampam
buat apa	akan narai
membuat apa	manampa narai
bagaimana menurut mu	kenampi menuruh muh
apa yang dia mau	narai ji ie handak
berapa biayanya	pire biaya ah
apa artinya	narai arti ah
apa yang membuatku pergi	narai ji manampa ku tulak
apa yang terjadi	narai ji terjadi
sudah saja	jadi ih
apa yang dia sembunyikan	narai ji ie nyahuka
apa yang kamu lakukan	narai ji gawim
disebut apakah itu	inyewut narai jite
berapa harganya	pire rega ah
mau beli berapa	handak mili pire
siapa namamu	eweh aram
apa yang dibeli	narai ji mili
Apa yang harus kumakan	narai ji harus kinangkuh
apa yang harus kuminum	narai ji harus ihupkuh
kita harus berani	itah harus bahanyi
kita harus kerja keras	itah harus cangkal
jangan malu	ela mahamen
jangan lelah bekerja	ela uyuh bagawi
jangan malas bekerja	ela kadian bagawi
apa yang saya katakan	narai ji auhkuh
apa kataku	narai kuangkuh
panggil namaku	tehau arangkuh
aku mau berbaring	aku handak menter
aku mau tidur	aku handak batiruh
jangan mau	ela handak
apa yang dia lakukan	narai ji ie mawi
siapa nama nya	eweh ara
jangan sombong	ela sombong
seperti apa dia	kilau narai iye
apa yang ada didalam tas	narai ji tege melai tas
suara apa itu	suara narai jikau
barang apa itu	barang narai jikau
apa jawaban nya	narai jawaba
nomor berapa itu	nomor pire jikau
apa alasannya	narai alasa
kapan kamu sibuk	pea ikau deruh
kapan kamu datang	pea ikau dumah
kapan kita sampai	pea itah sampai
kapan kamu belajar	pea ikau balajar
kapan dia datang	pea iye dumah
kapan buka	pea buka
dia sudah pergi	iye jadi buli
kapan pestanya	pea pesta ah
berapa umurmu	pire umur muh
kapan dia lahir	pea iye lahir
kapan dia datang	pea iye dumah
Kamu ada di mana sekarang	ikau tege melai kueh wayahtuh
Kemana mereka pergi	kakueh ewen tulak
di mana kamu berenang	melai kueh ikau hanangui
di mana kamu bekerja 	melai kueh ikau bagawi
dimana buku nya	melai kueh buku ah
Dimana rasa sakitnya	melai kueh angat kapehe
Dimana topimu	melai kueh topim
Dimana kita akan makan	melai kueh itah  tuh kuman
Dimana semua orang	melai kueh uras uluh
dimana ibu ku	melai kueh induku
Kemana kamu akan pergi	kan kueh ikau tuh tulak
Ke mana kita akan pergi	kan kueh itah tuh tulak
dimana anjing mu	melai kueh asum
dimana ayahku	melai kueh bapakuh
jangan lengah	ela laya
aku bermalam disini	aku bamalem melai hetuh
kenapa kamu sendiri	leha ikau kabuat
kenapa kamu marah	leha ikau basingi
kamu anak siapa	ikau anak eweh
siapa ayahmu	eweh bapam
siapa ibumu	eweh indum
siapa temanmu	eweh kawalmuh
tempat tidur siapa itu	eka batiruh eweh jikau
tempat siapa itu	eka eweh jikau
aku lelah sekali	aku uyuh tutu
